도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도,
고속국도,고속국도15호선,몽탄1터널(서울),전라남도,무안군,몽탄면,내리,280,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,몽탄2터널(목포),전라남도,무안군,몽탄면,구산리,550,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,몽탄2터널(서울),전라남도,무안군,몽탄면,구산리,540,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,몽탄3터널(목포),전라남도,무안군,몽탄면,약곡리,550,10,10,6.7,,17239,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,몽탄3터널(서울),전라남도,무안군,몽탄면,약곡리,590,10,10,6.7,,17239,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도400호선,무봉산터널(봉담),경기도,화성시,중동,,2267,9.2,9.2,7.3,,21227,전문관리기관,화성광주고속도로㈜,본사,2022,
고속국도,고속국도400호선,무봉산터널(양평),경기도,화성시,중동,,2275,9.2,9.2,7.3,,21227,전문관리기관,화성광주고속도로㈜,본사,2022,
고속국도,고속국도15호선,무안1터널(목포),전라남도,무안군,무안읍,,480,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,무안1터널(서울),전라남도,무안군,무안읍,,480,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,무안2터널(목포),전라남도,무안군,무안읍,,320,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,무안2터널(서울),전라남도,무안군,무안읍,,310,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,무안3터널(목포),전라남도,무안군,무안읍,성암리,280,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,무안3터널(서울),전라남도,무안군,무안읍,성암리,280,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,무안4터널(목포),전라남도,무안군,몽탄면,다산리,310,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도15호선,무안4터널(서울),전라남도,무안군,몽탄면,다산리,280,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
고속국도,고속국도55호선,무척산터널(상행선),경상남도,김해시,상동면,여차리,2010,10.6,7.5,6,1,22541,전문관리기관,신대구부산고속도로㈜,본사,2006,
고속국도,고속국도55호선,무척산터널(하행선),경상남도,김해시,생림면,안양리,2030,10.6,7.5,6,1,22541,전문관리기관,신대구부산고속도로㈜,본사,2006,
고속국도,고속국도45호선,문경1터널(양평),경상북도,문경시,문경읍,진안리,115,11.2,10.7,7.3,,27505,전문관리기관,한국도로공사,상주지사,2004,
고속국도,고속국도45호선,문경1터널(창원),경상북도,문경시,문경읍,진안리,180,11.2,10.7,7.3,,27505,전문관리기관,한국도로공사,상주지사,2004,
고속국도,고속국도45호선,문경2터널(양평),경상북도,문경시,문경읍,마원리,1187,12.5,10.7,7.3,,27505,전문관리기관,한국도로공사,상주지사,2004,
고속국도,고속국도45호선,문경2터널(창원),경상북도,문경시,문경읍,진안리,1205,12.5,10.7,7.3,,27505,전문관리기관,한국도로공사,상주지사,2004,
