도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도
일반국도,일반국도33호선,성주지하차도(상),경상북도,성주군,성주읍,삼산리,390,18,18,5,,7109,국토교통부,부산,대구,2007
일반국도,일반국도33호선,성주지하차도(하),경상북도,성주군,성주읍,삼산리,390,18,18,5,,7109,국토교통부,부산,대구,2007
일반국도,일반국도21호선,세교지하차도(상),충청남도,아산시,배방읍,세교리,348,27.6,27.6,0,,35557,국토교통부,대전,예산,2013
일반국도,일반국도21호선,세교지하차도(하),충청남도,아산시,배방읍,세교리,348,27.6,27.6,0,,35557,국토교통부,대전,예산,2013
일반국도,일반국도1호선,세마지하차도,경기도,오산시,세교동,,160,16.1,16.1,5,,26005,자치단체,경기,오산시,2011
일반국도,일반국도79호선,소계1지하차도,경상남도,창원시 의창구,소계동,,328,18.5,18.5,5.2,,28789,자치단체,경남,창원시의창구,2003
일반국도,일반국도79호선,소계2지하차도,경상남도,창원시 의창구,소계동,,53,0,0,4.5,,28789,자치단체,경남,창원시의창구,2001
일반국도,일반국도43호선,송용지하차도,충청남도,아산시,둔포면,신항리,145,21,21,0,,37938,국토교통부,대전,예산,2016
일반국도,일반국도22호선,송정지하차도,광주광역시,광산구,소촌동,,50,14.6,14.6,4.2,,12576,자치단체,광주,종합건설본부,1988
일반국도,일반국도43호선,수기지하차도,경기도,화성시,봉담읍,수기리,80,17.8,14,5,,30888,국토교통부,서울,수원,2015
일반국도,일반국도21호선,신미지하차도,전북특별자치도,전주시 덕진구,전미동2가,,70,22,20,5.3,,14878,국토교통부,익산,전주,2016
일반국도,일반국도21호선,신방지하차도(상),충청남도,천안시 동남구,신방동,,75,21.2,21.2,0,,35557,자치단체,충남,천안시동남구,2013
일반국도,일반국도21호선,신방지하차도(하),충청남도,천안시 동남구,신방동,,75,21.2,21.2,0,,35557,자치단체,충남,천안시동남구,2013
일반국도,일반국도19호선,싸리재지하차도,전북특별자치도,장수군,장수읍,선창리,280,20.5,17.5,5.9,,3172,국토교통부,익산,남원,2004
일반국도,일반국도14호선,아양지하차도,경상남도,거제시,아양동,,380,10,7.5,5.5,,6188,국토교통부,부산,진주,2016
일반국도,일반국도17호선,안덕원지하차도,전북특별자치도,전주시 덕진구,산정동,,435,16,16,5,,11194,자치단체,전북,전주시덕진구,2000
일반국도,일반국도1호선,양안지하차도,세종특별자치시,세종시,전의면,유천리,29.6,20.9,16,7.8,,10546,국토교통부,대전,논산,2000
일반국도,일반국도35호선,양주지하차도,경상남도,양산시,북부동,,100,35,32,7.4,,14358,자치단체,경남,양산시,2003
일반국도,일반국도33호선,양호지하차도,경상북도,구미시,양호동,,50,22,22,4.5,,14238,국토교통부,부산,대구,2021
일반국도,일반국도17호선,엑스포지하차도,전라남도,여수시,공화동,,100,18,18,5.5,,7038,국토교통부,익산,순천,2012
일반국도,일반국도3호선,여수지하차도(상행),경기도,성남시 중원구,여수동,,380,43.7,18,5.1,1,61072,자치단체,경기,성남시중원구,2017
일반국도,일반국도3호선,여수지하차도(하행),경기도,성남시 중원구,여수동,,380,12.8,12.8,5.1,1,61072,자치단체,경기,성남시중원구,2017
일반국도,일반국도28호선,예천지하차도,경상북도,예천군,예천읍,지내리,60,20,17,5.9,,1579,국토교통부,부산,영주,1997
일반국도,일반국도17호선,오동지하차도,충청북도,청주시 청원구,오동동,,64,20,16,5.5,,16963,국토교통부,대전,보은,2016
일반국도,일반국도77호선,오름 지하차도,경기도,화성시,새솔동,,160,17.5,17.5,4.7,,14392,자치단체,경기,화성시,2017
일반국도,일반국도17호선,오창지하차도,충청북도,청주시 청원구,오창읍,창리,260,18.6,13,7,,21444,국토교통부,대전,보은,2022
일반국도,일반국도5호선,옥포지하차도,대구광역시,달성군,옥포읍,교항리,425,18,18,6.6,,9805,국토교통부,부산,대구,2015
일반국도,일반국도77호선,옹암지하차도,인천광역시,연수구,옥련동,,250,10,10,7.2,1,91452,자치단체,인천,연수구,2017
일반국도,일반국도4호선,왜관지하차도,경상북도,칠곡군,왜관읍,왜관리,18.3,20.5,20.5,4.8,,14605,국토교통부,부산,대구,1997
일반국도,일반국도27호선,용정지하차도,전라남도,고흥군,도양읍,용정리,105,3.5,3.5,4.9,,2621,국토교통부,익산,순천,2007
일반국도,일반국도3호선,용현지하차도(상),경기도,의정부시,용현동,,320,13.4,13.4,8.5,,38250,국토교통부,서울,의정부,2015
일반국도,일반국도3호선,용현지하차도(하),경기도,의정부시,용현동,,320,13.4,13.4,8.5,,38250,국토교통부,서울,의정부,2015
일반국도,일반국도37호선,우암지하차도,경기도,연천군,청산면,백의리,40,20,20,0,,5323,국토교통부,서울,의정부,1999
일반국도,일반국도27호선,우치고개지하차도,전라남도,곡성군,옥과면,죽림리,200,20,20,5,,1529,국토교통부,익산,순천,2012
일반국도,일반국도39호선,원곡지하차도,경기도,안산시 단원구,원곡동,,165,16,16,5,,20820,자치단체,경기,안산시단원구,2011
일반국도,일반국도21호선,월드컵지하차도,전북특별자치도,전주시 덕진구,반월동,,140,19.6,19.6,4.8,,14878,자치단체,전북,전주시덕진구,2002
일반국도,일반국도13호선,월출지하차도,광주광역시,북구,용전동,,164,20.5,20.5,5.5,,10460,자치단체,광주,종합건설본부,2015
일반국도,일반국도1호선,장안지하차도,경기도,수원시 장안구,조원동,,240,17.4,4,5,2,39261,자치단체,경기,수원시장안구,2006
일반국도,일반국도21호선,장재지하차도,충청남도,아산시,배방읍,휴대리,430,33,33,5.2,,35557,국토교통부,대전,예산,2011
일반국도,일반국도39호선,장현지하차도,경기도,시흥시,장현동,,1040,18,0,5.2,,20820,자치단체,경기,시흥시,2015
일반국도,일반국도21호선,전미지하차도,전북특별자치도,전주시 덕진구,전미동1가,,70,22,20,5.3,,14878,국토교통부,익산,전주,2016
일반국도,일반국도2호선,정산지하차도,전라남도,광양시,성황동,,110,22.6,18,7.3,2,5562,국토교통부,익산,순천,2019
일반국도,일반국도17호선,조산지하차도,전북특별자치도,남원시,주생면,중동리,80,20.5,17,5.3,,4710,국토교통부,익산,남원,2007
일반국도,일반국도39호선,주교지하차도,경기도,고양시 덕양구,주교동,,30,8.8,8.8,5,,25461,국토교통부,서울,의정부,2021
일반국도,일반국도1호선,주추지하차도,세종특별자치시,세종시,아름동,,2380,21,21,11.2,,12944,자치단체,세종,시청,2012
일반국도,일반국도34호선,중리지하차도,충청북도,진천군,초평면,중석리,36,21.6,20,7.2,,5001,국토교통부,대전,보은,2017
